pickup_date,n_trips,avg_fare,avg_distance
2020-05-31,3,15,4.57
2020-06-01,12245,11.49,2.89
2020-06-02,12351,11.59,2.9
2020-06-03,12129,11.17,2.79
2020-06-04,12925,11.54,2.88
2020-06-05,13491,12.19,3.1
2020-06-06,10065,12.8,3.4
2020-06-07,8109,12.8,3.48
2020-06-08,14218,11.21,2.78
2020-06-09,14820,11.17,2.75
2020-06-10,15117,10.94,2.67
2020-06-11,15127,11.15,2.75
2020-06-12,16835,11.49,2.83
2020-06-13,11817,11.79,3.08
2020-06-14,9041,12.98,3.6
2020-06-15,15400,11.8,2.96
2020-06-16,16611,11.37,2.79
2020-06-17,17087,11.3,2.75
2020-06-18,17387,11.55,2.83
2020-06-19,18946,11.89,2.91
2020-06-20,12644,12.04,3.17
2020-06-21,10886,13.24,3.68
2020-06-22,20059,11.39,2.82
2020-06-23,21186,11.24,2.68
2020-06-24,21579,11.4,2.74
2020-06-25,22314,11.56,2.77
2020-06-26,22617,11.71,2.82
2020-06-27,15020,11.8,3.06
2020-06-28,13310,12.39,3.34
2020-06-29,21599,11.68,2.85
2020-06-30,20639,11.38,2.68
